Location,2018-01-01 00:00:00,2018-02-01 00:00:00,2018-03-01 00:00:00,2018-04-01 00:00:00,2018-05-01 00:00:00,2018-06-01 00:00:00,2018-07-01 00:00:00,2018-08-01 00:00:00,2018-09-01 00:00:00,2018-10-01 00:00:00,2018-11-01 00:00:00,2018-12-01 00:00:00,lat,lon
Balanagar,141.11111111111111,128.55555555555554,127.444444444444,126.66666666666669,120.88888888888889,107.0,89.66666666666667,97.44444444444444,123.11111111111111,131.66666666666666,135.875,148.44444444444446,16.948050000000023,78.18444000000005
Uppal,140.5925925925926,126.11111111111111,126.0,111.77777777777776,107.0,86.94444444444444,84.77777777777777,81.88888888888889,91.11111111111111,107.0,122.11111111111111,134.11111111111111,17.405770000000075,78.55911000000003
Jubilee Hills,128.77777777777777,124.44444444444444,123.77777777777776,104.44444444444444,116.11111111111111,108.77777777777776,100.22222222222224,100.66666666666669,106.44444444444444,106.44444444444444,135.22222222222223,122.55555555555556,17.038170000000036,79.28520000000003
Paradise,129.55555555555554,124.66666666666669,117.0,106.11111111111111,117.66666666666669,103.66666666666669,82.88888888888889,93.44444444444444,101.55555555555556,95.66666666666669,102.22222222222224,106.11111111111111,18.438840000000027,79.13951000000003
Charminar ,144.88888888888889,127.55555555555556,117.0,101.55555555555556,100.77777777777776,106.0,90.88888888888889,97.11111111111111,111.0,122.77777777777776,110.77777777777776,129.11111111111111,17.360250000000065,78.47014000000007
Jeedimetla,134.55555555555554,140.66666666666666,128.0,125.55555555555556,125.77777777777776,97.33333333333331,82.8888888888889,105.44444444444444,125.44444444444444,128.77777777777777,154.33333333333334,136.11111111111111,17.521830000000023,78.45433000000008
Abids,126.41176470588236,122.25,111.75,98.66666666666669,105.30434782608695,98.16666666666669,89.625,90.5,85.15,99.86666666666666,94.0,105.53333333333332,17.389810000000068,78.47659000000004
KBRN Park,100.25,89.84210526315789,87.27777777777777,77.47058823529412,79.05,52.888888888888886,52.54166666666666,50.54545454545455,61.94444444444444,78.25,86.33333333333333,92.6,17.425586534500578,78.41925295602329
Langahouse,116.0,127.64285714285714,112.73333333333332,90.0,96.75,89.06666666666666,75.33333333333333,84.38888888888889,102.52941176470588,103.26666666666668,100.28571428571428,97.58666666666666,17.363510000000076,78.41933000000006
Madhapur,111.95,99.8125,105.3529411764706,104.42857142857144,96.6,72.47368421052632,71.0,67.71428571428571,84.3,98.72222222222224,91.4375,105.2842105263158,19.02619000000004,78.36262000000005
MGBS,102.0,106.5,110.11111111111111,88.76470588235294,83.125,72.93333333333334,74.61904761904762,86.47368421052632,97.88888888888889,100.0,100.23076923076924,105.45294117647056,17.37706000000003,78.48489000000006
Chikkadapally,98.5,99.0,96.42857142857144,99.05555555555556,90.25,81.44444444444444,75.77272727272727,82.41176470588235,94.0,94.875,88.27272727272727,108.23529411764706,17.398227603962024,78.4961771081276
