location_aaq,Date,NOx,PM2.5,Toluene,Benzene,SO2,Xylene,Ozone,PM10,NH3,CO
"Balanagar , CITD office ",2016-01-01,29.2,,,,4.3,,,184.0,57.0,
"Uppal, Modern food Industry, IDA",2016-01-01,24.7,,,,4.2,,,116.0,58.0,
"Jubilee Hills, Police station",2016-01-01,28.7,,,,4.2,,,111.0,76.0,
"Paradise, HMWS &SB Pump house ",2016-01-01,31.9,,,,4.2,,,139.0,61.0,
"Charminar, TSRTC bus station ",2016-01-01,32.0,,,,4.2,,,134.0,75.0,
"Jeedimetla, Industrial Association building",2016-01-01,28.6,,,,4.3,,,172.0,149.0,
"Buddha Purnima Project office, Tank Bund",2016-01-01,17.4,,,,4.3,,,,,
"MGBS, Bus stand ",2016-01-01,21.3,,,,4.3,,,81.0,,
"Chikkadapally, Lepakshi Emporium ",2016-01-01,21.9,,,,4.2,,,90.0,,
"Langar House, Police Station ",2016-01-01,23.1,,,,4.3,,,120.0,,
"Madhapur, Shilpa Kalavedika ",2016-01-01,20.6,,,,4.3,,,97.0,,
"Shameerpet, MRO office",2016-01-01,17.7,,,,4.3,,,82.0,,
"Kukatpally, JNTU",2016-01-01,22.3,,,,4.3,,,99.0,,
"Sainikpuri,  MRO office ",2016-01-01,15.8,,,,4.3,,,85.0,,
"Rajendranaga, NG Rang Agricultural University ",2016-01-01,16.1,,,,,,,63.0,,
"Nacharam, Police station ",2016-01-01,20.6,,,,4.3,,,129.0,,
"Abids, Police station ",2016-01-01,22.7,,,,4.3,,,136.0,,
"KBRN Park, DFO office ",2016-01-01,19.8,,,,4.2,,,80.0,,
Punjagutta,2016-01-01,68.79384311893193,,7.874168667948899,0.122069466991342,,0.0081305803571428,5.814413324579256,126.0,126.0,1.9008727747059349
Sanathnagar,2016-01-01,67.1101,72.22408,21.32846,2.372242,5.29469,1.031938,78.83308,,,0.8741303
HCU,2016-01-01,59.705380645161306,49.45161290322581,3.751136290322581,0.7887330483870968,13.042545483870969,0.0,27.070967741935483,102.96774193548389,20.52432290322581,0.914516129032258
Zoopark,2016-01-01,58.755688709677415,79.1491935483871,9.404371806451612,4.751027935483872,11.350934548387098,2.1246036193548385,32.190325483870964,165.24059161290322,10.458198387096774,1.1432645161290322
Pashamylaram,2016-01-01,82.7,54.1,7.0,0.5079589445161289,23.1,2.0,43.6,104.7,43.8,1.493887322580645
KUDA,2016-01-01,20.0,,,,7.0,,,73.0,22.0,
" Mee-Seva, Warangal ",2016-01-01,26.0,,,,7.0,,,,22.0,
Balasamudram,2016-01-01,9.8,,,,6.3,,,56.0,,
Nakkalagutta,2016-01-01,10.3,,,,6.8,,,66.0,,
Godavarikhani,2016-01-01,21.0,,,,9.0,,,115.0,31.0,
" DIC building, Karimnagar",2016-01-01,22.0,,,,8.0,,,,27.0,
"CER Club, Kothagudem",2016-01-01,22.0,,,,8.0,,,77.0,,
Jalasouda ,2016-01-01,19.0,,,,6.0,,,46.0,,
Kothur,2016-01-01,28.0,,,,9.0,,,98.0,36.0,
R.C.Puram,2016-01-01,28.0,,,,6.0,,,98.0,21.0,
Bollaram,2016-01-01,26.0,,,,10.0,,,171.0,,
Sangareddy,2016-01-01,23.0,,,,5.0,,,79.0,,
PETL,2016-01-01,21.0,,,,13.0,,,97.0,,
Gaddapotharam,2016-01-01,27.0,,,,5.0,,,97.0,,
"Nalgonda RO, Building",2016-01-01,27.0,,,,7.0,,,64.0,21.3,
